GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US06073013505,06073013505,"Census Tract 135.05, San Diego County, California",345900,30511
1400000US06073013506,06073013506,"Census Tract 135.06, San Diego County, California",397800,86451
1400000US06073013601,06073013601,"Census Tract 136.01, San Diego County, California",481400,30588
1400000US06073013604,06073013604,"Census Tract 136.04, San Diego County, California",433700,40290
1400000US06073013605,06073013605,"Census Tract 136.05, San Diego County, California",609700,54982
1400000US06073013606,06073013606,"Census Tract 136.06, San Diego County, California",377600,45655
1400000US06073013701,06073013701,"Census Tract 137.01, San Diego County, California",531000,45046
1400000US06073013702,06073013702,"Census Tract 137.02, San Diego County, California",412600,42690
1400000US06073013801,06073013801,"Census Tract 138.01, San Diego County, California",369300,21042
1400000US06073013802,06073013802,"Census Tract 138.02, San Diego County, California",188600,60257
1400000US06073013903,06073013903,"Census Tract 139.03, San Diego County, California",314700,20430
1400000US06073013905,06073013905,"Census Tract 139.05, San Diego County, California",375500,21773
1400000US06073013906,06073013906,"Census Tract 139.06, San Diego County, California",237300,36155
1400000US06073013907,06073013907,"Census Tract 139.07, San Diego County, California",227900,62171
1400000US06073013908,06073013908,"Census Tract 139.08, San Diego County, California",290100,24530
1400000US06073013909,06073013909,"Census Tract 139.09, San Diego County, California",291400,31717
1400000US06073014001,06073014001,"Census Tract 140.01, San Diego County, California",335800,30416
1400000US06073014002,06073014002,"Census Tract 140.02, San Diego County, California",331400,17822
1400000US06073014101,06073014101,"Census Tract 141.01, San Diego County, California",309800,20630
1400000US06073014102,06073014102,"Census Tract 141.02, San Diego County, California",292600,20294
1400000US06073014200,06073014200,"Census Tract 142, San Diego County, California",307900,17605
1400000US06073014300,06073014300,"Census Tract 143, San Diego County, California",309200,30737
1400000US06073014400,06073014400,"Census Tract 144, San Diego County, California",126400,18926
